x;y;x;z
0;0;0;0
0.213785311;0.09047532;0.219026217;0.096629213
0.285047081;0.103400366;0.315655431;0.122397004
0.375743879;0.116325412;0.457378277;0.148164794
0.485875706;0.129250457;0.650636704;0.167490637
0.615442561;0.142175503;0.831011236;0.180374532
1.030056497;0.161563072;1.088689139;0.186816479
1.198493409;0.161563072;1.24329588;0.180374532
1.347495292;0.161563072;1.404344569;0.173932584
1.477062147;0.116325412;1.629812734;0.154606742
1.62606403;0.109862889;1.964794007;0.128838951
1.911111111;0.096937843;2.216029963;0.109513109
2.137853107;0.09047532;2.557453184;0.090187266
2.487683616;0.077550274;2.853782772;0.096629213
2.714425612;0.077550274;3.240299625;0.096629213
2.882862524;0.077550274;3.446441948;0.012883895
3.226214689;0.071087752;3.330486891;-0.051535581
3.310433145;0.071087752;2.943970037;-0.064419476
3.44;0;2.808689139;-0.064419476
;;2.596104869;-0.064419476
;;2.428614232;-0.064419476
;;2.267565543;-0.070861423
;;2.100074906;-0.077303371
;;1.900374532;-0.083745318
;;1.655580524;-0.096629213
;;1.410786517;-0.115955056
;;1.1917603;-0.115955056
;;0.850337079;-0.128838951
;;0.959850187;-0.128838951
;;0.669962547;-0.128838951
;;0.45093633;-0.109513109
;;0.315655431;-0.096629213
;;0.219026217;-0.083745318
;;3.44;0.012883895
