span [m];reference;tailored
0.000;0;0
0.108;0;0
0.150;0;0
0.284;-0.048800957;-0.047563004
0.423;-0.099336923;-0.096817004
0.491;-0.124188765;-0.119647998
0.596;-0.162857162;-0.155172043
0.696;-0.199782763;-0.186287405
0.761;-0.223515237;-0.206285578
0.897;-0.274093975;-0.241584464
1.036;-0.325978951;-0.277794974
1.178;-0.379041095;-0.301568021
1.314;-0.430037963;-0.324415777
1.379;-0.454229621;-0.324179836
1.528;-0.510415946;-0.323631853
1.681;-0.567954856;-0.276341211
1.835;-0.625877444;-0.216995416
1.992;-0.684972036;-0.160531375
2.152;-0.745154026;-0.119132253
2.216;-0.769460161;-0.118511191
2.388;-0.834478487;-0.116849865
2.572;-0.905348867;-0.156695
2.760;-0.984009155;-0.216883212
2.825;-1.01144409;-0.238995077
3.022;-1.107074095;-0.325354337
3.233;-1.216184671;-0.428482132
3.466;-1.343100397;-0.55169019
3.536;-1.38113039;-0.588849983
