y;Reference;Tailored
0.153635117;-0.14;-0.140615385
0.422496571;-0.127692308;-0.127846154
0.595336077;-0.125692308;-0.126
0.758573388;-0.122461538;-0.123076923
1.037037037;-0.117230769;-0.117538462
1.315500686;-0.112461538;-0.112769231
1.526748971;-0.108307692;-0.109076923
1.685185185;-0.105076923;-0.106307692
1.838820302;-0.102153846;-0.102923077
1.992455418;-0.1;-0.100769231
2.150891632;-0.097076923;-0.097846154
2.386145405;-0.094307692;-0.094923077
2.602194787;-0.090615385;-0.090769231
2.827846365;-0.086153846;-0.086153846
3.015089163;-0.082923077;-0.082923077
3.303155007;-0.077846154;-0.078153846
3.6;-0.072923077;-0.073230769
